Text
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
"Bugün iş yerinde toplantı çok uzun sürdü, gerçekten yoruldum."
Kahvaltı yapmadığım için bütün gün aç hissettim kendimi.
"Yarın seninle buluşmayı dört gözle bekliyorum, planımız hazır mı?"
"Bugün dışarıda hava çok güzeldi, biraz yürüyüş yaptım."
"Akşam yemeğinde makarna yaptım, istersen sana da getirebilirim."
"Telefonumun şarjı bittiği için seni arayamadım, kusura bakma."
"Sınavdan beklediğimden daha iyi not aldım, çok mutluyum."
"Film gerçekten çok güzeldi, özellikle sonunu hiç beklemiyordum."
"Merhaba, bugün seni gördüğüme çok sevindim, nasılsın?"
Sabah biraz geç kaldım çünkü otobüs çok kalabalıktı.
